,,,,,,,
CS252 Operating System Assignment Q2.24 - System call trace on Windows - Output exported as CSV,,,,,,,
,,,,,,,
#,Time of Day,Thread,Module,API,Return Value,Error,Duration
1,1:10:36 PM,1,Code.exe,InitializeCriticalSection ( 0x0040702c ),,,0.0000031
2,1:10:36 PM,1,Code.exe,GetCommandLineA (  ),0x00935478,,0.0000027
3,1:10:36 PM,1,Code.exe,"_fullpath ( ""((w"", ""C:\Users\vibam\OneDrive\Desktop\Sem 5\CS252 Operating Systems\Assignment\Question_2_24"", 0x00000104 )",0x0061fbc4,,0.0000077
4,1:10:36 PM,1,Code.exe,"FindFirstFileA ( ""C:\Users\vibam\OneDrive\Desktop\Sem 5\CS252 Operating Systems\Assignment\Question_2_24\*"", 0x0061fa58 )",0x009471d0,,0.0000784
5,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.000013
6,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000003
7,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000003
8,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000002
9,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000002
10,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000002
11,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000003
12,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000002
13,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000002
14,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000002
15,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000002
16,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000002
17,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000002
18,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000003
19,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000003
20,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000002
21,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000003
22,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000002
23,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000003
24,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",TRUE,,0.0000002
25,1:10:36 PM,1,Code.exe,"FindNextFileA ( 0x009471d0, 0x0061fb88 )",FALSE,0x00000012 = There are no more files.,0.0000059
26,1:10:36 PM,1,Code.exe,FindClose ( 0x009471d0 ),TRUE,,0.0000582
27,1:10:36 PM,1,Code.exe,__p__fmode (  ),0x75ef5c1c,,0.0000021
28,1:10:36 PM,1,Code.exe,"printf ( ""\n Please enter the file name to open for reading: "", ... )",0x00000032,,0.0000962
29,1:10:36 PM,1,Code.exe,"scanf ( ""%s"", ... )",0x00000001,,3.8503034
30,1:10:40 PM,1,Code.exe,"printf ( ""\n Please enter file name to open for writing: "", ... )",0x0000002e,,0.000244
31,1:10:40 PM,1,Code.exe,"scanf ( ""%s"", ... )",0x00000001,,3.490593
32,1:10:43 PM,1,Code.exe,"fopen ( ""reading.txt"", ""r"" )",0x75ef4660,,0.0001608
33,1:10:43 PM,1,KERNELBASE.dll,"NtCreateFile ( 0x0061fa3c, FILE_READ_ATTRIBUTES | GENERIC_READ | SYNCHRONIZE, 0x0061fa68, 0x0061fa40, NULL, FILE_ATTRIBUTE_NORMAL, FILE_SHARE_READ | FILE_SHARE_WRITE, FILE_OPEN, FILE_NON_DIRECTORY_FILE | FILE_SYNCHRONOUS_IO_NONALERT, NULL, 0x00000000 )",STATUS_SUCCESS,,0.00014
34,1:10:43 PM,1,Code.exe,"fopen ( ""trial10.txt"", ""r"" )",NULL,0x00000002 = No such file or directory,0.0000484
35,1:10:43 PM,1,KERNELBASE.dll,"NtCreateFile ( 0x0061fa3c, FILE_READ_ATTRIBUTES | GENERIC_READ | SYNCHRONIZE, 0x0061fa68, 0x0061fa40, NULL, FILE_ATTRIBUTE_NORMAL, FILE_SHARE_READ | FILE_SHARE_WRITE, FILE_OPEN, FILE_NON_DIRECTORY_FILE | FILE_SYNCHRONOUS_IO_NONALERT, NULL, 0x00000000 )",STATUS_OBJECT_NAME_NOT_FOUND,0xc0000034 = Object Name not found.,0.0000445
36,1:10:43 PM,1,Code.exe,"fopen ( ""trial10.txt"", ""w"" )",0x75ef4680,,0.0003096
37,1:10:43 PM,1,KERNELBASE.dll,"NtCreateFile ( 0x0061fa3c, FILE_READ_ATTRIBUTES | GENERIC_WRITE | SYNCHRONIZE, 0x0061fa68, 0x0061fa40, NULL, FILE_ATTRIBUTE_NORMAL, FILE_SHARE_READ | FILE_SHARE_WRITE, FILE_OVERWRITE_IF, FILE_NON_DIRECTORY_FILE | FILE_SYNCHRONOUS_IO_NONALERT, NULL, 0x00000000 )",STATUS_SUCCESS,,0.0003055
38,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000053,,0.000054
39,1:10:43 PM,1,Code.exe,"fputc ( 0x00000053, 0x75ef4680 )",0x00000053,,0.000001
40,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000074,,0.0000001
41,1:10:43 PM,1,Code.exe,"fputc ( 0x00000074, 0x75ef4680 )",0x00000074,,0.0000001
42,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006f,,0.0000001
43,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006f, 0x75ef4680 )",0x0000006f,,0.0000001
44,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000070,,0.0000001
45,1:10:43 PM,1,Code.exe,"fputc ( 0x00000070, 0x75ef4680 )",0x00000070,,0.0000001
46,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000070,,0
47,1:10:43 PM,1,Code.exe,"fputc ( 0x00000070, 0x75ef4680 )",0x00000070,,0.0000001
48,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000069,,0.0000001
49,1:10:43 PM,1,Code.exe,"fputc ( 0x00000069, 0x75ef4680 )",0x00000069,,0.0000001
50,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006e,,0.0000001
51,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006e, 0x75ef4680 )",0x0000006e,,0
52,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000067,,0.0000001
53,1:10:43 PM,1,Code.exe,"fputc ( 0x00000067, 0x75ef4680 )",0x00000067,,0.0000001
54,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0
55,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
56,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000062,,0
57,1:10:43 PM,1,Code.exe,"fputc ( 0x00000062, 0x75ef4680 )",0x00000062,,0.0000001
58,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000079,,0.0000001
59,1:10:43 PM,1,Code.exe,"fputc ( 0x00000079, 0x75ef4680 )",0x00000079,,0.0000001
60,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0
61,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0
62,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000074,,0.0000001
63,1:10:43 PM,1,Code.exe,"fputc ( 0x00000074, 0x75ef4680 )",0x00000074,,0.0000001
64,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000068,,0.0000001
65,1:10:43 PM,1,Code.exe,"fputc ( 0x00000068, 0x75ef4680 )",0x00000068,,0
66,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000065,,0.0000001
67,1:10:43 PM,1,Code.exe,"fputc ( 0x00000065, 0x75ef4680 )",0x00000065,,0.0000001
68,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000001
69,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
70,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000077,,0.0000001
71,1:10:43 PM,1,Code.exe,"fputc ( 0x00000077, 0x75ef4680 )",0x00000077,,0.0000001
72,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006f,,0.0000001
73,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006f, 0x75ef4680 )",0x0000006f,,0.0000001
74,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006f,,0.0000001
75,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006f, 0x75ef4680 )",0x0000006f,,0.0000001
76,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000064,,0.0000001
77,1:10:43 PM,1,Code.exe,"fputc ( 0x00000064, 0x75ef4680 )",0x00000064,,0.0000001
78,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000073,,0
79,1:10:43 PM,1,Code.exe,"fputc ( 0x00000073, 0x75ef4680 )",0x00000073,,0
